Answers - Predictions = Differences
23.9 - 17.9737433912 = 5.9262566088
12.3 - 1.06057454171 = 11.2394254583
16.8 - 11.0233034599 = 5.7766965401
19.3 - 15.9840539072 = 3.3159460928
23.8 - 10.9935485483 = 12.8064514517
25.8 - 18.9588020037 = 6.8411979963
20.6 - 11.0122015555 = 9.5877984445
19.7 - 12.0114431219 = 7.6885568781
14.8 - 10.0293830327 = 4.7706169673
15.3 - 9.02890904656 = 6.27109095344
16.2 - 5.04358260326 = 11.1564173967
23.0 - 12.9894102575 = 10.0105897425
21.5 - 16.9842930173 = 4.5157069827
21.7 - 12.0004978016 = 9.6995021984
10.9 - 1.07336849176 = 9.82663150824
19.8 - 11.0040342428 = 8.7959657572
31.2 - 19.9346856336 = 11.2653143664
7.1 - 1.08447039613 = 6.01552960387
14.0 - 6.04167004186 = 7.95832995814
27.0 - 16.9641727143 = 10.0358272857
20.7 - 13.9957433008 = 6.7042566992
24.0 - 14.9680079633 = 9.0319920367
13.1 - 11.0318622327 = 2.0681377673
29.1 - 18.9490108111 = 10.1509891889
17.4 - 13.9998320203 = 3.4001679797
22.8 - 12.9944965207 = 9.8055034793
22.7 - 13.9847979805 = 8.7152020195
19.5 - 11.0173661108 = 8.4826338892
18.0 - 12.0033541012 = 5.9966458988
16.4 - 12.0041268951 = 4.3958731049
18.7 - 13.9895812018 = 4.7104187982
20.6 - 18.976995385 = 1.623004615
26.7 - 19.9578869861 = 6.7421130139
9.3 - 3.06106288821 = 6.23893711179
11.0 - 2.06428616142 = 8.93571383858
24.6 - 16.9681831418 = 7.6318168582
12.0 - 2.0616647378 = 9.9383352622
19.7 - 16.9844496014 = 2.7155503986
19.4 - 10.0093410217 = 9.3906589783
13.7 - 4.05097288792 = 9.64902711208
16.6 - 14.0087721269 = 2.5912278731
9.4 - 5.06825125159 = 4.33174874841
6.2 - 3.0828752369 = 3.1171247631
25.9 - 11.9792233708 = 13.9207766292
19.4 - 9.0215826936 = 10.3784173064
24.8 - 11.984387926 = 12.815612074
16.1 - 5.04042326175 = 11.0595767383
26.3 - 19.9566545663 = 6.3433454337
19.0 - 9.00894532757 = 9.99105467243
6.0 - 3.08796150011 = 2.91203849989
11.7 - 7.04230061206 = 4.65769938794
23.6 - 12.9912588872 = 10.6087411128
12.2 - 1.06882014644 = 11.1311798536
17.1 - 15.0009222164 = 2.0990777836
