Answers - Predictions = Differences
18.6 - 17.2747919271 = 1.3252080729
9.1 - 2.09373799755 = 7.00626200245
13.1 - 10.7753063854 = 2.3246936146
14.6 - 15.3217862124 = -0.7217862124
18.3 - 11.4130875094 = 6.8869124906
19.9 - 18.3223143186 = 1.5776856814
16.1 - 11.0742766757 = 5.0257233243
15.4 - 11.8453462151 = 3.5546537849
11.4 - 9.8055587595 = 1.5944412405
11.7 - 9.02548224488 = 2.67451775512
12.5 - 5.69367848236 = 6.80632151764
17.7 - 13.0310950326 = 4.6689049674
16.7 - 16.2426863196 = 0.4573136804
16.8 - 12.0504341104 = 4.7495658896
8.3 - 1.9021605652 = 6.3978394348
15.1 - 11.1096137314 = 3.9903862686
24.0 - 19.6353762658 = 4.3646237342
5.3 - 1.60319027483 = 3.69680972517
10.6 - 6.40879984887 = 4.19120015113
20.9 - 16.7133137707 = 4.1866862293
16.0 - 13.6639381459 = 2.3360618541
18.1 - 14.9030379697 = 3.1969620303
10.1 - 10.505263342 = -0.405263342
22.5 - 18.5833503867 = 3.9166496133
13.2 - 13.4562530841 = -0.2562530841
17.7 - 12.9732405387 = 4.7267594613
17.4 - 13.8690260412 = 3.5309739588
15.3 - 10.9694809843 = 4.3305190157
13.6 - 11.8337420732 = 1.7662579268
12.2 - 11.7443631658 = 0.4556368342
14.0 - 13.6189032694 = 0.3810967306
15.9 - 17.8851176021 = -1.9851176021
20.8 - 19.187266253 = 1.612733747
6.7 - 3.55550514407 = 3.14449485593
8.2 - 2.80244955531 = 5.39755044469
18.9 - 16.5525699064 = 2.3474300936
9.0 - 2.87831799981 = 6.12168200019
15.1 - 16.1488039246 = -1.0488039246
14.8 - 10.229245013 = 4.570754987
10.4 - 4.68599663424 = 5.71400336576
12.8 - 13.3315371209 = -0.5315371209
7.3 - 5.11375185222 = 2.18624814778
4.7 - 3.19227055104 = 1.50772944896
19.8 - 12.4651133886 = 7.3348866114
15.1 - 9.30453226357 = 5.79546773643
19.0 - 12.3603176971 = 6.6396823029
12.3 - 5.71810224168 = 6.58189775832
20.4 - 19.1782592777 = 1.2217407223
14.3 - 9.40222730084 = 4.89777269916
4.7 - 3.13441605712 = 1.56558394288
8.7 - 7.09499396842 = 1.60500603158
18.3 - 13.0446054956 = 5.2553945044
9.3 - 2.0114597443 = 7.2885402557
13.1 - 14.2408330863 = -1.1408330863
13.1 - 5.73611619226 = 7.36388380774
13.5 - 12.7051038164 = 0.7948961836
5.0 - 5.73308450255 = -0.73308450255
6.4 - 4.16201817692 = 2.23798182308
15.2 - 13.5302152075 = 1.6697847925
10.2 - 8.03131085969 = 2.16868914031
14.5 - 9.29102180063 = 5.20897819937
15.7 - 17.9384686084 = -2.2384686084
7.3 - 1.7060796452 = 5.5939203548
18.4 - 19.1910788952 = -0.7910788952
24.0 - 19.5775217719 = 4.4224782281
18.4 - 19.0753699073 = -0.6753699073
22.7 - 17.0431176291 = 5.6568823709
